,CPU,RAM
114,2.0,2.0
115,2.0,2.0
116,2.0,2.0
117,2.0,2.0
118,2.0,2.0
119,-0.33333334,-0.33333334
120,-0.33333334,-0.33333334
121,-0.33333334,-0.33333334
122,-0.33333334,-0.33333334
123,-0.33333334,-0.33333334
124,-0.33333334,-0.33333334
125,-0.33333334,-0.33333334
126,-0.33333334,-0.33333334
127,-0.33333334,-0.33333334
128,-0.33333334,-0.33333334
129,-0.33333334,-0.33333334
130,-0.33333334,-0.33333334
131,-0.5,-0.5
132,-0.5,-0.5
133,-0.5,-0.5
134,-0.5,-0.5
135,-0.5,-0.5
136,-0.5,-0.5
137,-0.5,-0.5
138,-0.5,-0.5
139,-0.5,-0.5
140,-0.5,-0.5
141,-0.5,-0.5
142,-0.5,-0.5
143,-0.5,-0.5
144,-0.5,-0.5
145,-0.5,-0.5
146,-0.5,-0.5
147,-0.5,-0.5
148,-0.5,-0.5
149,-0.5,-0.5
150,-0.5,-0.5
151,-0.5,-0.5
152,-0.5,-0.5
153,-0.5,-0.5
154,-0.5,-0.5
155,2.0,0.6666667
156,2.0,0.6666667
157,2.0,0.6666667
158,2.0,0.6666667
159,2.0,0.6666667
160,2.0,0.6666667
161,2.0,0.6666667
162,2.0,0.6666667
163,2.0,0.6666667
164,2.0,0.6666667
165,2.0,0.6666667
166,2.0,0.6666667
167,2.0,0.6666667
168,2.0,0.6666667
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,-0.5,-0.5
182,-0.5,-0.5833333
183,-0.33333334,-0.5
184,-0.33333334,-0.33333334
185,0.6666667,0.0
186,0.6666667,0.6666667
187,0.6666667,2.0
188,2.0,0.6666667
189,2.0,2.0
190,2.0,2.0
191,0.33333334,0.33333334
192,0.33333334,0.33333334
193,0.33333334,0.33333334
194,0.33333334,0.33333334
195,0.33333334,0.33333334
196,0.33333334,0.33333334
197,0.33333334,0.33333334
198,0.33333334,0.33333334
199,0.33333334,0.33333334
200,0.33333334,0.33333334
201,-0.5,-0.5
202,-0.33333334,-0.33333334
203,0.0,-0.33333334
204,0.0,0.0
205,0.33333334,0.33333334
206,0.33333334,0.33333334
207,0.6666667,2.0
208,0.6666667,0.0
209,2.0,0.6666667
210,2.0,2.0
211,0.33333334,0.33333334
212,-0.33333334,-0.33333334
213,-0.33333334,-0.33333334
214,0.33333334,0.33333334
215,0.33333334,0.33333334
216,0.6666667,0.0
217,0.6666667,0.0
218,0.6666667,0.0
219,0.6666667,0.0
220,0.6666667,0.0
221,2.0,2.0
222,2.0,2.0
223,2.0,2.0
224,2.0,2.0
225,2.0,2.0
226,2.0,2.0
227,2.0,2.0
228,2.0,2.0
229,2.0,2.0
230,2.0,2.0
231,2.0,2.0
232,2.0,2.0
233,2.0,2.0
234,-0.33333334,-0.33333334
235,-0.33333334,-0.33333334
236,-0.33333334,-0.33333334
