,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
54,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
55,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
56,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
57,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
58,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
59,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
60,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
61,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
62,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
63,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
64,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
65,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
66,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
67,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
68,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
69,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
70,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
71,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
72,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
73,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
74,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
75,-0.00867536,0.72528416,-0.008018724,-0.25094453,0.012410592,-0.019536266
76,-0.89762855,0.7739088,0.049650725,-0.2265165,0.04206332,-0.030907376
77,-0.9722217,0.7960153,0.037386443,-0.1611149,0.014480986,-0.033168294
78,-0.7504975,0.8019133,0.005899049,-0.10385593,-0.022985527,-0.03163881
79,-0.6013108,0.7577005,0.030427573,-0.23465915,0.032179095,-0.027116984
80,0.5798484,0.8373025,-0.18302543,0.23969778,-0.24778487,-0.022462022
81,1.1765957,0.6604512,-0.08491134,-0.28351521,-0.02712641,-0.0043747765
82,2.37009,0.30674833,0.111316875,-1.3299414,0.41419044,0.03179968
83,2.3536427,0.8844881,-0.43492472,0.6977695,-0.54751724,-0.010226303
84,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
85,3.547137,0.53078526,-0.23869649,-0.34865668,-0.10620032,0.025948202
86,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
87,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
88,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
89,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
90,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
91,0.58396006,0.6928675,-0.04646501,-0.26722986,-0.007357893,-0.0119555155
