,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
84,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
85,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
86,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
87,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
88,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
89,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
90,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
91,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
92,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
93,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
94,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
95,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
96,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
97,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
98,-0.7566623,-0.7787992,-0.12672935,-0.12166403,-0.0509179,-0.06832427,-0.009512412
99,-0.4876785,-0.65454406,-0.27831087,-0.20862599,0.114351146,-0.036746252,-0.011633679
100,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
101,0.040673617,-0.6300956,-0.24086596,-0.24507311,0.13464393,-0.016367763,-0.011405309
102,1.6064994,-1.0048734,0.5526846,-0.07946064,-0.42496818,-0.04078727,-0.0017783205
103,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
104,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
105,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
106,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
107,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
108,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
109,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
110,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
111,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
112,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
113,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
114,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
115,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
116,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
117,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
118,2.6824346,-0.50785303,-0.05364137,-0.42730838,0.23610781,0.08552473,-0.010263394
119,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
120,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
121,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
122,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
123,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
124,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
125,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
126,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
127,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
128,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
129,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
130,-1.0160307,-0.6789926,-0.31575572,-0.17217895,0.09405833,-0.05712477,-0.011862089
131,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
132,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
133,-1.2802067,-0.6912167,-0.3344782,-0.15395537,0.08391199,-0.06731399,-0.01197624
