,Component_1,Component_2
169,-0.5169419,-0.020544073
170,-0.5169419,-0.020544073
171,-0.5169419,-0.020544073
172,-0.5169419,-0.020544073
173,-0.5169419,-0.020544073
174,-0.5169419,-0.020544073
175,-0.5169419,-0.020544073
176,-0.5169419,-0.020544073
177,-0.5169419,-0.020544073
178,-0.5169419,-0.020544073
179,-0.5169419,-0.020544073
180,-0.5169419,-0.020544073
181,-1.3152232,-0.00647767
182,-1.3829188,0.06121802
183,-1.1845206,0.124224864
184,-1.0491295,-0.011166376
185,0.005868021,0.502266
186,0.547433,-0.03929927
187,1.6305631,-1.1224298
188,1.5930529,1.0063208
189,2.676183,-0.076809675
190,2.676183,-0.076809675
191,0.015245535,-0.029921647
192,0.015245535,-0.029921647
193,0.015245535,-0.029921647
194,0.015245535,-0.029921647
195,0.015245535,-0.029921647
196,0.015245535,-0.029921647
197,0.015245535,-0.029921647
198,0.015245535,-0.029921647
199,0.015245535,-0.029921647
200,0.015245535,-0.029921647
201,-1.3152232,-0.00647767
202,-1.0491295,-0.011166376
203,-0.7877245,0.25023863
204,-0.5169419,-0.020544073
205,0.015245535,-0.029921647
206,0.015245535,-0.029921647
207,1.6305631,-1.1224298
208,0.005868021,0.502266
209,1.5930529,1.0063208
210,2.676183,-0.076809675
211,0.015245535,-0.029921647
212,-1.0491295,-0.011166376
213,-1.0491295,-0.011166376
214,0.015245535,-0.029921647
215,0.015245535,-0.029921647
216,0.005868021,0.502266
217,0.005868021,0.502266
218,0.005868021,0.502266
219,0.005868021,0.502266
220,0.005868021,0.502266
221,2.676183,-0.076809675
222,2.676183,-0.076809675
223,2.676183,-0.076809675
224,2.676183,-0.076809675
225,2.676183,-0.076809675
226,2.676183,-0.076809675
227,2.676183,-0.076809675
228,2.676183,-0.076809675
229,2.676183,-0.076809675
230,2.676183,-0.076809675
231,2.676183,-0.076809675
232,2.676183,-0.076809675
233,2.676183,-0.076809675
234,-1.0491295,-0.011166376
235,-1.0491295,-0.011166376
236,-1.0491295,-0.011166376
237,-1.0491295,-0.011166376
238,-1.0491295,-0.011166376
239,-1.0491295,-0.011166376
240,-1.0491295,-0.011166376
241,-1.0491295,-0.011166376
242,-1.0491295,-0.011166376
243,-1.0491295,-0.011166376
244,-1.0491295,-0.011166376
245,-1.0491295,-0.011166376
246,-1.1845206,0.124224864
247,-1.1845206,0.124224864
248,-0.7877245,0.25023863
249,-0.7877245,0.25023863
250,-0.7877245,0.25023863
251,-0.7877245,0.25023863
252,0.005868021,0.502266
253,0.005868021,0.502266
254,0.005868021,0.502266
255,0.005868021,0.502266
256,-0.7783469,-0.2819491
257,-0.7783469,-0.2819491
258,0.024623042,-0.5621093
259,0.024623042,-0.5621093
260,1.6305631,-1.1224298
261,1.6305631,-1.1224298
262,-1.0491295,-0.011166376
263,-1.0491295,-0.011166376
264,-1.0491295,-0.011166376
265,-1.0491295,-0.011166376
266,-1.0491295,-0.011166376
267,-1.0491295,-0.011166376
268,-1.0491295,-0.011166376
