,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
103,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
104,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
105,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
106,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
107,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
108,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
109,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
110,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
111,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
112,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
113,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
114,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
115,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
116,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
117,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
118,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
119,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
120,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
121,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
122,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
123,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
124,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
125,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
126,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
127,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
128,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
129,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
130,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
131,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
132,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
133,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
134,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
135,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
136,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
137,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
138,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
139,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
140,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
141,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
142,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
143,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
144,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
145,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
146,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
147,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
148,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
149,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
150,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
151,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
152,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
153,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
154,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
155,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
156,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
157,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
158,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
159,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
160,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
161,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
